j1_posicion_ranking;j1_partidos_ganados;j1_partidos_perdidos;j1_media_aces;j1_media_1servicioganado;j1_media_juegosganadosconservicio;j1_media_breakpointganados;j1_media_juegosganadosdevolviendo;j1_racha;j2_posicion_ranking;j2_partidos_ganados;j2_partidos_perdidos;j2_media_aces;j2_media_1servicioganado;j2_media_juegosganadosconservicio;j2_media_breakpointganados;j2_media_juegosganadosdevolviendo;j2_racha;resultado
1;14;4;84;0.72;0.81;0.43;0.33;0.83;5;10;10;41;0.65;0.76;0.36;0.18;0.17;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;4;15;16;25;0.58;0.57;0.5;0.23;0.33;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;2;16;6;83;0.7;0.78;0.46;0.27;0.83;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;1;9;6;69;0.69;0.78;0.44;0.28;0.83;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;1;13;3;127;0.76;0.88;0.43;0.28;1.0;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;1;19;1;64;0.75;0.89;0.52;0.47;1.0;L
1;14;4;84;0.72;0.81;0.43;0.33;0.83;4;8;10;63;0.66;0.73;0.33;0.23;0.33;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;1;9;6;69;0.69;0.78;0.44;0.28;0.83;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;1;13;3;127;0.76;0.88;0.43;0.28;1.0;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;1;19;1;64;0.75;0.89;0.52;0.47;1.0;L
1;14;4;84;0.72;0.81;0.43;0.33;0.83;4;19;14;55;0.71;0.74;0.3;0.16;1.0;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;2;14;7;175;0.73;0.84;0.48;0.28;0.67;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;1;18;6;191;0.74;0.8;0.4;0.27;0.83;L
1;14;4;84;0.72;0.81;0.43;0.33;0.83;2;16;6;83;0.7;0.78;0.46;0.27;0.83;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;2;6;5;80;0.73;0.79;0.52;0.21;0.5;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;4;12;9;88;0.71;0.75;0.42;0.29;0.67;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;1;16;4;144;0.75;0.86;0.51;0.3;1.0;W
1;14;4;84;0.72;0.81;0.43;0.33;0.83;1;19;1;64;0.75;0.89;0.52;0.47;1.0;L
1;13;3;127;0.76;0.88;0.43;0.28;1.0;5;12;7;0;0.0;0.0;0.0;0.0;0.5;W
1;13;3;127;0.76;0.88;0.43;0.28;1.0;4;12;9;88;0.71;0.75;0.42;0.29;0.67;W
