j1_posicion_ranking;j1_partidos_ganados;j1_partidos_perdidos;j1_media_aces;j1_media_1servicioganado;j1_media_juegosganadosconservicio;j1_media_breakpointganados;j1_media_juegosganadosdevolviendo;j1_racha;j2_posicion_ranking;j2_partidos_ganados;j2_partidos_perdidos;j2_media_aces;j2_media_1servicioganado;j2_media_juegosganadosconservicio;j2_media_breakpointganados;j2_media_juegosganadosdevolviendo;j2_racha;resultado
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;35;14;437;0.77;0.86;0.42;0.23;0.17;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;38;11;320;0.73;0.83;0.42;0.32;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;37;13;472;0.78;0.87;0.39;0.25;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;38;6;378;0.79;0.92;0.44;0.26;0.83;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;2;27;14;516;0.8;0.84;0.4;0.2;0.83;L
1;44;5;317;0.75;0.89;0.48;0.37;0.83;3;12;10;171;0.73;0.82;0.36;0.17;0.83;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;3;14;16;321;0.77;0.84;0.36;0.17;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;2;18;12;183;0.75;0.81;0.34;0.24;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;37;13;472;0.78;0.87;0.39;0.25;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;38;11;320;0.73;0.83;0.42;0.32;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;5;11;16;71;0.67;0.78;0.31;0.16;0.33;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;4;6;14;63;0.65;0.68;0.33;0.21;0.33;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;3;14;15;155;0.7;0.77;0.45;0.2;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;3;9;12;62;0.68;0.79;0.38;0.18;0.33;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;35;14;437;0.77;0.86;0.42;0.23;0.17;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;4;7;10;18;0.64;0.66;0.33;0.18;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;5;1;7;27;0.7;0.76;0.5;0.13;0.17;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;3;18;15;233;0.71;0.78;0.44;0.25;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;2;15;8;205;0.73;0.81;0.39;0.23;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;29;8;140;0.71;0.83;0.45;0.31;0.83;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;38;11;320;0.73;0.83;0.42;0.32;0.5;L
1;44;5;317;0.75;0.89;0.48;0.37;0.83;2;18;20;153;0.72;0.77;0.49;0.25;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;3;15;15;69;0.67;0.76;0.45;0.29;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;2;15;10;154;0.73;0.78;0.36;0.26;0.67;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;38;6;378;0.79;0.92;0.44;0.26;0.83;L
1;44;5;317;0.75;0.89;0.48;0.37;0.83;4;15;13;154;0.68;0.79;0.35;0.18;0.33;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;2;27;14;516;0.8;0.84;0.4;0.2;0.83;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;2;18;12;183;0.75;0.81;0.34;0.24;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;26;16;347;0.75;0.83;0.41;0.22;0.33;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;26;13;222;0.72;0.83;0.41;0.28;0.67;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;3;22;16;256;0.75;0.82;0.4;0.22;0.67;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;3;11;15;237;0.71;0.72;0.41;0.26;0.33;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;26;13;222;0.72;0.83;0.41;0.28;0.67;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;29;8;140;0.71;0.83;0.45;0.31;0.83;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;38;11;320;0.73;0.83;0.42;0.32;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;5;7;8;26;0.66;0.71;0.49;0.28;0.33;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;3;18;17;421;0.76;0.85;0.37;0.17;0.67;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;2;24;12;660;0.78;0.9;0.33;0.12;0.5;L
1;44;5;317;0.75;0.89;0.48;0.37;0.83;5;5;10;44;0.63;0.64;0.44;0.24;0.33;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;5;11;21;195;0.73;0.82;0.31;0.14;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;26;16;347;0.75;0.83;0.41;0.22;0.33;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;38;11;320;0.73;0.83;0.42;0.32;0.5;L
1;44;5;317;0.75;0.89;0.48;0.37;0.83;4;7;10;18;0.64;0.66;0.33;0.18;0.5;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;4;5;6;37;0.67;0.79;0.41;0.23;0.33;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;5;9;16;177;0.72;0.77;0.35;0.18;0.33;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;4;8;6;101;0.72;0.74;0.43;0.22;0.67;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;29;8;140;0.71;0.83;0.45;0.31;0.83;W
1;44;5;317;0.75;0.89;0.48;0.37;0.83;1;38;11;320;0.73;0.83;0.42;0.32;0.5;W
